"Sepal_Length","Petal_Length"
"Exceeds","62506"
"Fully Meets","104437"
"Fully Meets","64955"
"Fully Meets","64991"
"Fully Meets","50825"
"Exceeds","57568"
"Fully Meets","95660"
"Fully Meets","59365"
"Fully Meets","47837"
"Fully Meets","50178"
"Fully Meets","54670"
"Fully Meets","47211"
"Exceeds","92328"
"Fully Meets","58709"
"Fully Meets","52505"
"Fully Meets","57834"
"Exceeds","70131"
"Fully Meets","59026"
"Fully Meets","110000"
"Fully Meets","53250"
"Fully Meets","51044"
"Fully Meets","64919"
"Exceeds","62910"
"Needs Improvement","66441"
"Fully Meets","57815"
"Fully Meets","103613"
"Fully Meets","106367"
"Fully Meets","74312"
"Fully Meets","53492"
"Fully Meets","63000"
"Fully Meets","65288"
"Fully Meets","64375"
"Fully Meets","74326"
"Fully Meets","63763"
"Fully Meets","62162"
"Fully Meets","77692"
"Exceeds","72640"
"Fully Meets","93396"
"Fully Meets","52846"
"Fully Meets","100031"
"Fully Meets","71860"
"Fully Meets","61656"
"Fully Meets","110929"
"Fully Meets","54237"
"Fully Meets","60380"
"Fully Meets","66808"
"Fully Meets","64786"
"Fully Meets","64816"
"Fully Meets","68678"
"Fully Meets","64066"
"Fully Meets","59369"
"Exceeds","50373"
"Fully Meets","63108"
"Needs Improvement","59144"
"Needs Improvement","68051"
"Exceeds","170500"
"Fully Meets","63381"
"Fully Meets","83552"
"Fully Meets","56149"
"Fully Meets","92329"
"Fully Meets","65729"
"Fully Meets","85028"
"Fully Meets","57583"
"Fully Meets","56294"
"Fully Meets","56991"
"Fully Meets","55722"
"Fully Meets","101199"
"PIP","61568"
"Fully Meets","58275"
"PIP","53189"
"Fully Meets","96820"
"Fully Meets","51259"
"PIP","59231"
"Needs Improvement","61584"
"Fully Meets","46335"
"Fully Meets","70621"
"Exceeds","138888"
"Exceeds","74241"
"Fully Meets","75188"
"Fully Meets","62514"
"Fully Meets","60070"
"Fully Meets","48888"
"Fully Meets","54285"
"PIP","56847"
"Needs Improvement","60340"
"Needs Improvement","59124"
"Needs Improvement","99280"
"Fully Meets","71776"
"Fully Meets","65902"
"Fully Meets","57748"
"PIP","64057"
"PIP","53366"
"Fully Meets","58530"
"Fully Meets","72609"
"Fully Meets","55965"
"PIP","70187"
"Exceeds","178000"
"Fully Meets","99351"
"Fully Meets","67251"
"Fully Meets","65707"
"Fully Meets","52249"
"Fully Meets","53171"
"Fully Meets","51337"
"Fully Meets","51505"
"Fully Meets","59370"
"Needs Improvement","54933"
"Exceeds","57815"
"Fully Meets","61555"
"Fully Meets","114800"
"Fully Meets","74679"
"Fully Meets","53018"
"Exceeds","59892"
"PIP","68898"
"Fully Meets","61242"
"Fully Meets","66825"
"Fully Meets","48285"
"Fully Meets","66149"
"Fully Meets","49256"
"Fully Meets","62957"
"Fully Meets","63813"
"Fully Meets","99020"
"Fully Meets","71707"
"Fully Meets","54828"
"Fully Meets","64246"
"Fully Meets","52177"
"Exceeds","62065"
"Fully Meets","46998"
"Fully Meets","68099"
"Fully Meets","70545"
"Fully Meets","63478"
"Fully Meets","97999"
"Fully Meets","180000"
"Fully Meets","49920"
"Fully Meets","55425"
"Fully Meets","69340"
"Fully Meets","64995"
"Fully Meets","68182"
"Needs Improvement","83082"
"Fully Meets","51908"
"Fully Meets","61242"
"Fully Meets","45069"
"Exceeds","60724"
"Fully Meets","60436"
"Exceeds","46837"
"Fully Meets","105700"
"Exceeds","63322"
"Fully Meets","61154"
"Fully Meets","68999"
"Fully Meets","50482"
"Fully Meets","65310"
"Fully Meets","250000"
"Fully Meets","54005"
"Fully Meets","45433"
"Fully Meets","46654"
"Fully Meets","63973"
"Fully Meets","71339"
"Fully Meets","93206"
"Fully Meets","82758"
"Fully Meets","66074"
"Fully Meets","46120"
"Fully Meets","64520"
"Fully Meets","61962"
"Fully Meets","81584"
"Fully Meets","63676"
"Fully Meets","93046"
"Fully Meets","64738"
"Fully Meets","70468"
"Exceeds","77915"
"Fully Meets","52624"
"Fully Meets","63450"
"Exceeds","51777"
"Fully Meets","67237"
"Exceeds","73330"
"Fully Meets","52057"
"Exceeds","47434"
"Fully Meets","52788"
"Fully Meets","45395"
"Fully Meets","62385"
"Fully Meets","68407"
"Fully Meets","61349"
"Fully Meets","105688"
"Fully Meets","54132"
"Fully Meets","55315"
"Fully Meets","62810"
"Fully Meets","63291"
"Fully Meets","62659"
"Fully Meets","55688"
"Fully Meets","83667"
"PIP","55800"
"Fully Meets","58207"
"Needs Improvement","157000"
"Exceeds","72460"
"Fully Meets","72106"
"Fully Meets","52599"
"Fully Meets","63430"
"Fully Meets","74417"
"Fully Meets","57575"
"Fully Meets","87921"
"Fully Meets","50470"
"Fully Meets","46664"
"Fully Meets","48495"
"Exceeds","52984"
"Fully Meets","63695"
"Fully Meets","62061"
"Fully Meets","66738"
"PIP","52674"
"Fully Meets","71966"
"Fully Meets","63051"
"Exceeds","47414"
"Needs Improvement","53060"
"Fully Meets","68829"
"Fully Meets","63515"
"Exceeds","108987"
"Fully Meets","93093"
"Needs Improvement","53564"
"Needs Improvement","60270"
"Fully Meets","45998"
"Exceeds","57954"
"Fully Meets","74669"
"Fully Meets","74226"
"Exceeds","93554"
"Fully Meets","64724"
"Fully Meets","47001"
"Fully Meets","61844"
"Fully Meets","46799"
"Fully Meets","59472"
"Fully Meets","46430"
"Fully Meets","83363"
"Fully Meets","95920"
"Fully Meets","61729"
"Fully Meets","61809"
"Fully Meets","45115"
"Exceeds","46738"
"Fully Meets","64971"
"Fully Meets","55578"
"Fully Meets","50428"
"Needs Improvement","61422"
"Exceeds","63353"
"Fully Meets","89883"
"Fully Meets","120000"
"Fully Meets","150290"
"Fully Meets","60627"
"Fully Meets","53180"
"Fully Meets","140920"
"Fully Meets","148999"
"Fully Meets","86214"
"Needs Improvement","47750"
"Fully Meets","46428"
"Fully Meets","57975"
"Fully Meets","88527"
"Fully Meets","56147"
"Fully Meets","50923"
"Fully Meets","50750"
"Fully Meets","52087"
"Fully Meets","87826"
"Fully Meets","51920"
"Fully Meets","63878"
"Exceeds","60656"
"Needs Improvement","72992"
"Fully Meets","55000"
"Fully Meets","58939"
"Fully Meets","66593"
"Fully Meets","87565"
"PIP","64021"
"Fully Meets","65714"
"Exceeds","62425"
"Fully Meets","47961"
"PIP","58273"
"Fully Meets","63003"
"Fully Meets","61355"
"Fully Meets","60120"
"Fully Meets","63682"
"Fully Meets","63025"
"Fully Meets","59238"
"Exceeds","92989"
"Fully Meets","90100"
"Fully Meets","60754"
"Fully Meets","72202"
"Fully Meets","58370"
"Fully Meets","48413"
"Fully Meets","67176"
"Fully Meets","56339"
"Exceeds","64397"
"Needs Improvement","63025"
"Fully Meets","75281"
"Fully Meets","100416"
"Fully Meets","74813"
"Fully Meets","76029"
"Fully Meets","57859"
"Exceeds","58523"
"Fully Meets","88976"
"Fully Meets","55875"
"Fully Meets","113999"
"Exceeds","49773"
"Fully Meets","62068"
"Fully Meets","66541"
"Fully Meets","80512"
"Needs Improvement","50274"
"Fully Meets","84903"
"Fully Meets","107226"
"Fully Meets","58371"
"Fully Meets","55140"
"Fully Meets","58062"
"Fully Meets","59728"
"Exceeds","70507"
"Fully Meets","60446"
"Fully Meets","65893"
"PIP","48513"
"Exceeds","220450"
"Fully Meets","89292"
"Fully Meets","45046"
